n_ActionID,c_Competition,n_MatchID,c_HomeTeam,c_AwayTeam,n_HomeGoals,n_AwayGoals,d_Date,c_Action,c_Period,n_StartTime,n_Endtime,n_HomeOrAway,n_TeamID,c_Team,n_personid,c_person,c_Function,n_ShirtNr,c_ActionReason,c_actionInfo,n_Subpersonid,c_Subperson
27729799,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Free kick,Second half,5000000,5000000,1,4007,Arsenal,749983,Pierre-Emerick Aubameyang,NULL,NULL,NULL,Right foot,0,NULL
27729806,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Goal kick,Second half,5067000,5067000,1,4034,Chelsea,1040979,Kepa Arrizabalaga,NULL,NULL,NULL,NULL,0,NULL
27729797,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Free kick,Second half,5055000,5055000,-1,4075,Liverpool,1385429,Trent Alexander-Arnold,NULL,NULL,NULL,Right foot,0,NULL
27729753,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Foul committed,Second half,4936000,4936000,-1,4010,Aston Villa,981069,Björn Engels,NULL,NULL,Rough play,NULL,749983,Pierre-Emerick Aubameyang
27729755,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Yellow,Second half,4943000,4943000,-1,4010,Aston Villa,981069,Björn Engels,NULL,NULL,Rough play,NULL,0,NULL
27729754,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Free kick,Second half,4999000,4999000,-1,4075,Liverpool,778343,Joel Matip,NULL,NULL,NULL,Right foot,0,NULL
27729749,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Change of captain,Second half,4986000,4986000,-1,4075,Liverpool,450636,James Milner,NULL,NULL,NULL,NULL,0,NULL
27724048,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Substitution,Second half,4984000,NULL,-1,4075,Liverpool,627206,Adam Lallana,Midfielder,20,NULL,NULL,749311,Jordan Henderson
27689121,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Line-up,Start,NULL,4984000,-1,4075,Liverpool,749311,Jordan Henderson,Midfielder (C),14,NULL,NULL,0,NULL
27729730,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Kick-off,Second half,4865000,4865000,-1,4010,Aston Villa,1405966,Wesley Moraes,NULL,NULL,NULL,NULL,0,NULL
27729733,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Foul committed,Second half,4951000,4951000,1,4034,Chelsea,1496606,Mason Mount,NULL,NULL,Holding,NULL,1385429,Trent Alexander-Arnold
27729728,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Save by goalkeeper,Second half,4881000,4881000,1,4007,Arsenal,828604,Bernd Leno,NULL,NULL,Diving/Caught,NULL,0,NULL
